product_id,product_name,category,sub_category,profit,product_rank,total_profitable_products,cumulative_profit,cumulative_profit_share,product_share
TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Technology,Phones,3638.27,30,7691,170813.96,0.0843,0.0039
OFF-ST-10002555,"Eldon Lockers, Industrial",Office Supplies,Storage,3604.16,31,7691,174418.12,0.0861,0.004
TEC-APP-10002966,"Apple Smart Phone, Full Size",Technology,Phones,3570.0,32,7691,177988.12,0.0878,0.0042
TEC-CO-10000013,"Brother Fax Machine, Laser",Technology,Copiers,3548.09,33,7691,181536.21,0.0896,0.0043
FUR-SAU-10004653,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,3491.95,34,7691,185028.15,0.0913,0.0044
TEC-CO-10004567,"Brother Fax Machine, Color",Technology,Copiers,3455.26,35,7691,188483.41,0.093,0.0046
TEC-CO-10001654,"Hewlett Wireless Fax, Digital",Technology,Copiers,3429.86,36,7691,191913.27,0.0947,0.0047
FUR-CH-10000932,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs,3387.83,37,7691,195301.1,0.0964,0.0048
TEC-PH-10002759,"Cisco Smart Phone, Cordless",Technology,Phones,3387.35,38,7691,198688.45,0.0981,0.0049
TEC-CO-10002376,"Hewlett Fax Machine, Laser",Technology,Copiers,3345.74,39,7691,202034.19,0.0997,0.0051
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,3345.28,40,7691,205379.47,0.1014,0.0052
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines,3343.54,41,7691,208723.0,0.103,0.0053
OFF-AP-10001931,"Cuisinart Stove, Red",Office Supplies,Appliances,3337.29,42,7691,212060.29,0.1047,0.0055
TEC-HEW-10003829,"Hewlett Wireless Fax, High-Speed",Technology,Copiers,3337.2,43,7691,215397.49,0.1063,0.0056
TEC-CO-10002526,"Sharp Wireless Fax, Digital",Technology,Copiers,3288.74,44,7691,218686.24,0.1079,0.0057
FUR-BO-10000035,"Dania Classic Bookcase, Pine",Furniture,Bookcases,3288.3,45,7691,221974.53,0.1096,0.0059
FUR-BO-10002300,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,3283.29,46,7691,225257.83,0.1112,0.006
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,3247.02,47,7691,228504.85,0.1128,0.0061
FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,3244.51,48,7691,231749.35,0.1144,0.0062
TEC-PH-10002774,"Nokia Smart Phone, with Caller ID",Technology,Phones,3236.7,49,7691,234986.05,0.116,0.0064
TEC-CO-10000447,"Canon Wireless Fax, Color",Technology,Copiers,3222.69,50,7691,238208.74,0.1176,0.0065
TEC-AC-10003955,"Memorex Router, Erganomic",Technology,Accessories,3220.42,51,7691,241429.16,0.1192,0.0066
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,3124.94,52,7691,244554.1,0.1207,0.0068
OFF-AP-10003917,"KitchenAid Stove, Silver",Office Supplies,Appliances,3122.5,53,7691,247676.6,0.1222,0.0069
TEC-CO-10002174,"HP Copy Machine, Laser",Technology,Copiers,3102.01,54,7691,250778.61,0.1238,0.007
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,3085.03,55,7691,253863.64,0.1253,0.0072
FUR-BO-10004665,"Bush Classic Bookcase, Mobile",Furniture,Bookcases,3030.46,56,7691,256894.1,0.1268,0.0073
TEC-PH-10002683,"Apple Smart Phone, Cordless",Technology,Phones,3021.94,57,7691,259916.04,0.1283,0.0074
FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",Furniture,Chairs,3015.05,58,7691,262931.09,0.1298,0.0075
FUR-BO-10004113,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,2999.8,59,7691,265930.89,0.1312,0.0077
TEC-CIS-10002344,"Cisco Smart Phone, Full Size",Technology,Phones,2982.75,60,7691,268913.63,0.1327,0.0078
OFF-AP-10002090,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,2970.47,61,7691,271884.1,0.1342,0.0079
TEC-PH-10002962,"Motorola Smart Phone, Full Size",Technology,Phones,2910.76,62,7691,274794.86,0.1356,0.0081
FUR-CH-10000660,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,2824.19,63,7691,277619.05,0.137,0.0082
OFF-AP-10001041,"Hoover Stove, White",Office Supplies,Appliances,2817.62,64,7691,280436.67,0.1384,0.0083
TEC-SAM-10004785,"Samsung Smart Phone, with Caller ID",Technology,Phones,2805.3,65,7691,283241.97,0.1398,0.0085
OFF-AP-10002244,"Breville Refrigerator, White",Office Supplies,Appliances,2804.6,66,7691,286046.57,0.1412,0.0086
FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases,2801.8,67,7691,288848.37,0.1426,0.0087
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers,2799.96,68,7691,291648.33,0.1439,0.0088
TEC-AC-10001258,"Belkin Router, Erganomic",Technology,Accessories,2773.11,69,7691,294421.44,0.1453,0.009
OFF-ST-10001547,"Rogers Lockers, Industrial",Office Supplies,Storage,2760.57,70,7691,297182.01,0.1467,0.0091
OFF-ST-10000624,"Eldon File Cart, Single Width",Office Supplies,Storage,2753.81,71,7691,299935.81,0.148,0.0092
FUR-CH-10003551,"Hon Swivel Stool, Black",Furniture,Chairs,2739.98,72,7691,302675.79,0.1494,0.0094
OFF-AP-10000330,"Hamilton Beach Stove, Red",Office Supplies,Appliances,2738.78,73,7691,305414.56,0.1507,0.0095
TEC-PH-10001990,"Cisco Smart Phone, Full Size",Technology,Phones,2734.15,74,7691,308148.71,0.1521,0.0096
TEC-CO-10001008,"Canon Fax and Copier, Laser",Technology,Copiers,2697.3,75,7691,310846.01,0.1534,0.0098
TEC-CO-10002040,"Brother Fax Machine, Digital",Technology,Copiers,2678.61,76,7691,313524.62,0.1547,0.0099
OFF-ST-10002395,"Rogers Lockers, Single Width",Office Supplies,Storage,2670.76,77,7691,316195.38,0.1561,0.01
FUR-CH-10003365,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,2669.1,78,7691,318864.48,0.1574,0.0101
TEC-CO-10002617,"Brother Fax Machine, High-Speed",Technology,Copiers,2647.73,79,7691,321512.21,0.1587,0.0103
TEC-PH-10001396,"Nokia Smart Phone, Cordless",Technology,Phones,2633.36,80,7691,324145.57,0.16,0.0104
FUR-BO-10003991,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,2632.38,81,7691,326777.95,0.1613,0.0105
OFF-AP-10004511,"Cuisinart Refrigerator, Black",Office Supplies,Appliances,2626.14,82,7691,329404.09,0.1626,0.0107
TEC-MOT-10003348,"Motorola Smart Phone, Full Size",Technology,Phones,2621.82,83,7691,332025.91,0.1639,0.0108
TEC-PH-10000018,"Nokia Smart Phone, Full Size",Technology,Phones,2617.16,84,7691,334643.07,0.1652,0.0109
FUR-BO-10000203,"Sauder Library with Doors, Metal",Furniture,Bookcases,2608.84,85,7691,337251.9,0.1664,0.0111
TEC-AC-10000203,"SanDisk Router, Bluetooth",Technology,Accessories,2597.14,86,7691,339849.04,0.1677,0.0112
FUR-CH-10003581,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,2582.41,87,7691,342431.45,0.169,0.0113
TEC-AC-10000376,"Memorex Router, Bluetooth",Technology,Accessories,2565.5,88,7691,344996.95,0.1703,0.0114
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,2518.06,89,7691,347515.01,0.1715,0.0116
FUR-BO-10003282,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,2443.67,90,7691,349958.67,0.1727,0.0117
TEC-CO-10004535,"Hewlett Fax Machine, High-Speed",Technology,Copiers,2430.13,91,7691,352388.81,0.1739,0.0118
OFF-FEL-10001630,"Fellowes Lockers, Industrial",Office Supplies,Storage,2414.01,92,7691,354802.82,0.1751,0.012
TEC-CO-10001162,"Canon Wireless Fax, Laser",Technology,Copiers,2411.76,93,7691,357214.58,0.1763,0.0121
FUR-CH-10004669,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,2411.66,94,7691,359626.24,0.1775,0.0122
OFF-AP-10003590,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,2404.53,95,7691,362030.77,0.1787,0.0124
TEC-CO-10001628,"Sharp Personal Copier, Digital",Technology,Copiers,2398.78,96,7691,364429.55,0.1799,0.0125
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,2358.42,97,7691,366787.97,0.181,0.0126
OFF-AP-10000407,"KitchenAid Refrigerator, Silver",Office Supplies,Appliances,2357.84,98,7691,369145.82,0.1822,0.0127
TEC-MA-10004772,"Konica Inkjet, White",Technology,Machines,2354.16,99,7691,371499.98,0.1833,0.0129
FUR-IKE-10001312,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,2346.75,100,7691,373846.73,0.1845,0.013
OFF-ST-10000288,"Fellowes Lockers, Industrial",Office Supplies,Storage,2338.78,101,7691,376185.51,0.1857,0.0131
TEC-CO-10004042,"Brother Wireless Fax, Laser",Technology,Copiers,2336.63,102,7691,378522.14,0.1868,0.0133
OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,2318.34,103,7691,380840.48,0.188,0.0134
TEC-PH-10001712,"Nokia Smart Phone, Full Size",Technology,Phones,2315.04,104,7691,383155.52,0.1891,0.0135
TEC-CO-10003901,"HP Copy Machine, Color",Technology,Copiers,2311.95,105,7691,385467.46,0.1902,0.0137
FUR-BO-10003541,"Bush Classic Bookcase, Metal",Furniture,Bookcases,2307.43,106,7691,387774.9,0.1914,0.0138
OFF-ST-10004489,"Smead Lockers, Single Width",Office Supplies,Storage,2300.99,107,7691,390075.88,0.1925,0.0139
TEC-CO-10000794,"Hewlett Wireless Fax, High-Speed",Technology,Copiers,2251.25,108,7691,392327.13,0.1936,0.014
TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,2243.93,109,7691,394571.07,0.1947,0.0142
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,2233.51,110,7691,396804.57,0.1958,0.0143
OFF-ROG-10003898,"Rogers Lockers, Single Width",Office Supplies,Storage,2217.93,111,7691,399022.5,0.1969,0.0144
TEC-CO-10001342,"HP Wireless Fax, Digital",Technology,Copiers,2208.94,112,7691,401231.44,0.198,0.0146
TEC-CO-10001775,"Sharp Wireless Fax, Laser",Technology,Copiers,2199.24,113,7691,403430.68,0.1991,0.0147
TEC-MA-10000161,"Okidata Inkjet, Wireless",Technology,Machines,2189.03,114,7691,405619.71,0.2002,0.0148
TEC-PH-10003713,"Nokia Smart Phone, Cordless",Technology,Phones,2175.47,115,7691,407795.17,0.2013,0.015
TEC-CO-10003506,"HP Fax Machine, Laser",Technology,Copiers,2171.32,116,7691,409966.49,0.2023,0.0151
TEC-AC-10003666,"Memorex Router, Bluetooth",Technology,Accessories,2161.11,117,7691,412127.6,0.2034,0.0152
FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases,2158.95,118,7691,414286.55,0.2045,0.0153
TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,2155.89,119,7691,416442.44,0.2055,0.0155
FUR-CH-10003232,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,2133.65,120,7691,418576.09,0.2066,0.0156
TEC-PH-10000896,"Cisco Signal Booster, VoIP",Technology,Phones,2125.74,121,7691,420701.83,0.2076,0.0157
FUR-BO-10004142,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,2117.7,122,7691,422819.53,0.2087,0.0159
TEC-AC-10000420,"Belkin Router, USB",Technology,Accessories,2113.07,123,7691,424932.6,0.2097,0.016
TEC-PH-10003762,"Motorola Smart Phone, Full Size",Technology,Phones,2107.67,124,7691,427040.26,0.2108,0.0161
TEC-MA-10004421,"Konica Inkjet, Wireless",Technology,Machines,2106.91,125,7691,429147.18,0.2118,0.0163
TEC-CO-10001766,Canon PC940 Copier,Technology,Copiers,2092.45,126,7691,431239.63,0.2128,0.0164
TEC-CO-10001954,"Brother Wireless Fax, Laser",Technology,Copiers,2090.65,127,7691,433330.28,0.2139,0.0165
FUR-CH-10004746,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,2086.3,128,7691,435416.58,0.2149,0.0166
FUR-BO-10004709,"Bush Classic Bookcase, Pine",Furniture,Bookcases,2065.85,129,7691,437482.42,0.2159,0.0168
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Technology,Copiers,2064.96,130,7691,439547.38,0.2169,0.0169
TEC-MOT-10000554,"Motorola Smart Phone, Full Size",Technology,Phones,2060.35,131,7691,441607.74,0.2179,0.017
FUR-BUS-10001243,"Bush Classic Bookcase, Pine",Furniture,Bookcases,2057.54,132,7691,443665.27,0.219,0.0172
TEC-CO-10001413,"Hewlett Wireless Fax, High-Speed",Technology,Copiers,2039.4,133,7691,445704.67,0.22,0.0173
TEC-CO-10003496,"Brother Wireless Fax, Digital",Technology,Copiers,2035.94,134,7691,447740.61,0.221,0.0174
TEC-PH-10000493,"Apple Smart Phone, Full Size",Technology,Phones,2033.63,135,7691,449774.23,0.222,0.0176
TEC-PH-10004910,"Samsung Signal Booster, Full Size",Technology,Phones,2026.75,136,7691,451800.99,0.223,0.0177
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,2016.71,137,7691,453817.7,0.224,0.0178
OFF-ST-10004381,"Smead Lockers, Industrial",Office Supplies,Storage,2004.66,138,7691,455822.36,0.225,0.0179
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,1995.99,139,7691,457818.35,0.2259,0.0181
FUR-BO-10002892,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,1991.24,140,7691,459809.58,0.2269,0.0182
FUR-BO-10004472,"Dania Library with Doors, Pine",Furniture,Bookcases,1988.24,141,7691,461797.82,0.2279,0.0183
TEC-CO-10002313,Canon PC1080F Personal Copier,Technology,Copiers,1973.97,142,7691,463771.79,0.2289,0.0185
TEC-CO-10001375,"Brother Copy Machine, Color",Technology,Copiers,1956.8,143,7691,465728.59,0.2299,0.0186
TEC-PH-10004281,"Samsung Audio Dock, Cordless",Technology,Phones,1937.67,144,7691,467666.26,0.2308,0.0187
TEC-APP-10001586,"Apple Speaker Phone, VoIP",Technology,Phones,1936.98,145,7691,469603.24,0.2318,0.0189
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,1932.55,146,7691,471535.79,0.2327,0.019
FUR-CH-10003597,"SAFCO Executive Leather Armchair, Set of Two",Furniture,Chairs,1928.74,147,7691,473464.53,0.2337,0.0191
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,1927.44,148,7691,475391.97,0.2346,0.0192
OFF-ST-10003153,"Tenex File Cart, Single Width",Office Supplies,Storage,1864.41,149,7691,477256.38,0.2355,0.0194
FUR-CH-10002247,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,1855.69,150,7691,479112.07,0.2365,0.0195
FUR-SAF-10000085,"Safco Library with Doors, Pine",Furniture,Bookcases,1838.36,151,7691,480950.43,0.2374,0.0196
TEC-CAN-10004291,"Canon Wireless Fax, Digital",Technology,Copiers,1830.84,152,7691,482781.27,0.2383,0.0198
TEC-AC-10003415,"SanDisk Router, Erganomic",Technology,Accessories,1829.52,153,7691,484610.79,0.2392,0.0199
FUR-CH-10004095,"SAFCO Executive Leather Armchair, Adjustable",Furniture,Chairs,1824.59,154,7691,486435.38,0.2401,0.02
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,1822.76,155,7691,488258.14,0.241,0.0202
FUR-BO-10003734,"Dania Classic Bookcase, Metal",Furniture,Bookcases,1821.15,156,7691,490079.29,0.2419,0.0203
TEC-CO-10000972,"Sharp Fax and Copier, Digital",Technology,Copiers,1816.48,157,7691,491895.77,0.2428,0.0204
FUR-BO-10001192,"Bush Library with Doors, Mobile",Furniture,Bookcases,1812.17,158,7691,493707.94,0.2437,0.0205
TEC-CO-10002962,"Sharp Wireless Fax, Color",Technology,Copiers,1807.61,159,7691,495515.54,0.2446,0.0207
FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",Furniture,Tables,1800.9,160,7691,497316.44,0.2454,0.0208
FUR-BO-10000980,"Bush Library with Doors, Traditional",Furniture,Bookcases,1792.08,161,7691,499108.52,0.2463,0.0209
FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,1789.22,162,7691,500897.74,0.2472,0.0211
TEC-CO-10004404,"Brother Copy Machine, High-Speed",Technology,Copiers,1775.38,163,7691,502673.13,0.2481,0.0212
TEC-CO-10000137,"Canon Wireless Fax, Color",Technology,Copiers,1772.11,164,7691,504445.24,0.249,0.0213
TEC-AC-10004743,"Logitech Router, USB",Technology,Accessories,1735.78,165,7691,506181.02,0.2498,0.0215
FUR-TA-10001360,"Bevis Round Table, Rectangular",Furniture,Tables,1732.82,166,7691,507913.84,0.2507,0.0216
OFF-AP-10002793,"KitchenAid Stove, Black",Office Supplies,Appliances,1731.21,167,7691,509645.05,0.2515,0.0217
FUR-TA-10002497,"Chromcraft Computer Table, Adjustable Height",Furniture,Tables,1715.5,168,7691,511360.55,0.2524,0.0218
TEC-CO-10001589,"Hewlett Wireless Fax, Digital",Technology,Copiers,1701.5,169,7691,513062.05,0.2532,0.022
TEC-PH-10001457,"Apple Smart Phone, Full Size",Technology,Phones,1695.3,170,7691,514757.35,0.254,0.0221
TEC-CO-10003236,Canon Image Class D660 Copier,Technology,Copiers,1691.97,171,7691,516449.32,0.2549,0.0222
OFF-AP-10003500,"KitchenAid Microwave, White",Office Supplies,Appliances,1689.67,172,7691,518138.99,0.2557,0.0224
TEC-CO-10003759,"Canon Fax Machine, Laser",Technology,Copiers,1687.14,173,7691,519826.13,0.2566,0.0225
TEC-CO-10001926,"Hewlett Wireless Fax, Laser",Technology,Copiers,1668.68,174,7691,521494.8,0.2574,0.0226
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines,1668.21,175,7691,523163.01,0.2582,0.0228
OFF-AP-10003795,"Hoover Refrigerator, Red",Office Supplies,Appliances,1668.14,176,7691,524831.14,0.259,0.0229
TEC-PH-10003002,"Cisco Smart Phone, Full Size",Technology,Phones,1667.52,177,7691,526498.66,0.2598,0.023
FUR-CH-10000546,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,1666.35,178,7691,528165.01,0.2607,0.0231
TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",Technology,Phones,1661.6,179,7691,529826.61,0.2615,0.0233
OFF-AP-10004964,"Hoover Stove, White",Office Supplies,Appliances,1659.87,180,7691,531486.48,0.2623,0.0234
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,1653.83,181,7691,533140.31,0.2631,0.0235
FUR-CH-10000479,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,1653.59,182,7691,534793.9,0.2639,0.0237
TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,Technology,Copiers,1649.97,183,7691,536443.87,0.2648,0.0238
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,1645.36,184,7691,538089.23,0.2656,0.0239
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,1640.53,185,7691,539729.76,0.2664,0.0241
OFF-BI-10001808,"Cardinal Binding Machine, Clear",Office Supplies,Binders,1628.51,186,7691,541358.27,0.2672,0.0242
OFF-AP-10004245,"Hoover Stove, Black",Office Supplies,Appliances,1623.96,187,7691,542982.23,0.268,0.0243
TEC-PH-10000720,"Samsung Audio Dock, Full Size",Technology,Phones,1616.8,188,7691,544599.03,0.2688,0.0244
TEC-AC-10004108,"Memorex Router, USB",Technology,Accessories,1613.27,189,7691,546212.3,0.2696,0.0246
FUR-BO-10003779,"Ikea Library with Doors, Traditional",Furniture,Bookcases,1613.21,190,7691,547825.51,0.2704,0.0247
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,1611.58,191,7691,549437.09,0.2712,0.0248
TEC-PH-10000800,"Cisco Smart Phone, Full Size",Technology,Phones,1605.41,192,7691,551042.5,0.272,0.025
OFF-ST-10004768,"Eldon Lockers, Industrial",Office Supplies,Storage,1604.6,193,7691,552647.1,0.2727,0.0251
TEC-CO-10003158,"Sharp Wireless Fax, Laser",Technology,Copiers,1601.83,194,7691,554248.93,0.2735,0.0252
FUR-CH-10001490,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,1598.32,195,7691,555847.25,0.2743,0.0254
OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,1592.5,196,7691,557439.74,0.2751,0.0255
FUR-BO-10001405,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,1588.01,197,7691,559027.76,0.2759,0.0256
OFF-AP-10002351,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances,1582.65,198,7691,560610.41,0.2767,0.0257
TEC-MA-10002392,"Konica Card Printer, Wireless",Technology,Machines,1576.26,199,7691,562186.67,0.2775,0.0259
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,1575.11,200,7691,563761.78,0.2782,0.026
TEC-CO-10002857,"Sharp Fax and Copier, Color",Technology,Copiers,1574.29,201,7691,565336.07,0.279,0.0261
TEC-CO-10002269,"Brother Ink, Color",Technology,Copiers,1568.89,202,7691,566904.96,0.2798,0.0263
OFF-SME-10000746,"Smead Lockers, Industrial",Office Supplies,Storage,1566.78,203,7691,568471.74,0.2806,0.0264
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,1558.59,204,7691,570030.33,0.2813,0.0265
TEC-MA-10004502,"Epson Inkjet, Wireless",Technology,Machines,1543.79,205,7691,571574.12,0.2821,0.0267
TEC-BRO-10000463,"Brother Copy Machine, Color",Technology,Copiers,1542.76,206,7691,573116.88,0.2829,0.0268
OFF-ST-10004060,"Fellowes Lockers, Blue",Office Supplies,Storage,1542.03,207,7691,574658.91,0.2836,0.0269
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs,1540.7,208,7691,576199.62,0.2844,0.027
OFF-KIT-10000099,"KitchenAid Refrigerator, Silver",Office Supplies,Appliances,1538.23,209,7691,577737.84,0.2851,0.0272
FUR-HAR-10002873,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,1523.52,210,7691,579261.36,0.2859,0.0273
TEC-MA-10000002,"Epson Card Printer, Durable",Technology,Machines,1519.93,211,7691,580781.29,0.2866,0.0274
OFF-LA-10003930,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,1517.91,212,7691,582299.2,0.2874,0.0276
TEC-CO-10004897,"Sharp Fax Machine, High-Speed",Technology,Copiers,1515.86,213,7691,583815.06,0.2881,0.0277
FUR-CH-10002585,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,1506.0,214,7691,585321.06,0.2889,0.0278
TEC-EPS-10004558,"Epson Inkjet, Durable",Technology,Machines,1505.08,215,7691,586826.14,0.2896,0.028
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances,1503.52,216,7691,588329.66,0.2904,0.0281
TEC-CO-10001472,"Sharp Copy Machine, Laser",Technology,Copiers,1503.39,217,7691,589833.04,0.2911,0.0282
FUR-BO-10004254,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,1498.5,218,7691,591331.54,0.2918,0.0283
